id,psu,country,wave,q1,wt,stratum,Q1001,Q1002,Q1003,Q1005,Q100,Q101,Q102,Q204A_1,Q204A_2,Q204_2,Q204_3,Q204_11,Q204_20,Q209B,Q501,Q501A,Q266,Q263,Q516A,Q512,Q515A2,Q511
1981,248,Egypt,5,50026,2.91643823612096,41,35.0,1.0,1.0,7.0,1.0,2,3,4.0,4,3.0,2.0,2.0,4.0,1.0,2,2,1.0,2.0,1.0,5,1.0,4.0
856,107,Egypt,5,50014,2.01914801388347,18,36.0,2.0,4.0,4.0,3.0,3,3,2.0,4,98.0,3.0,2.0,4.0,1.0,2,2,2.0,2.0,3.0,7,1.0,6.0
326,41,Egypt,5,50006,1.3743468586524499,8,32.0,2.0,6.0,4.0,1.0,2,1,3.0,3,3.0,4.0,1.0,3.0,2.0,2,2,1.0,1.0,3.0,4,2.0,8.0
1867,234,Egypt,5,50025,1.62176510144992,39,61.0,1.0,1.0,6.0,2.0,4,3,4.0,4,4.0,4.0,4.0,3.0,3.0,2,2,2.0,3.0,3.0,10,2.0,0.0
538,68,Egypt,5,50007,1.5826447595928401,10,48.0,2.0,1.0,7.0,2.0,3,4,4.0,4,3.0,4.0,3.0,3.0,3.0,2,2,1.0,3.0,1.0,0,3.0,0.0
428,54,Egypt,5,50007,1.65021100746495,10,24.0,2.0,4.0,6.0,98.0,98,98,2.0,3,3.0,98.0,2.0,3.0,98.0,2,2,2.0,2.0,1.0,98,98.0,98.0
1630,204,Egypt,5,50023,2.30172982158,35,43.0,2.0,4.0,1.0,1.0,2,1,3.0,3,4.0,3.0,2.0,4.0,2.0,2,2,1.0,2.0,2.0,3,1.0,4.0
924,116,Egypt,5,50015,2.53519558263931,19,39.0,2.0,4.0,4.0,1.0,2,2,4.0,4,4.0,3.0,2.0,4.0,2.0,2,2,99.0,99.0,3.0,3,4.0,4.0
611,77,Egypt,5,50008,3.71927238189286,11,70.0,1.0,1.0,3.0,1.0,2,1,2.0,1,2.0,3.0,2.0,2.0,2.0,2,2,2.0,2.0,2.0,5,1.0,98.0
1627,204,Egypt,5,50023,2.73045333411129,35,39.0,1.0,4.0,2.0,1.0,3,2,2.0,3,3.0,3.0,2.0,3.0,2.0,2,2,1.0,2.0,2.0,5,1.0,4.0
1836,230,Egypt,5,50024,1.8328858474416203,37,20.0,2.0,1.0,6.0,2.0,3,4,3.0,4,3.0,3.0,3.0,4.0,3.0,2,2,2.0,3.0,1.0,0,3.0,0.0
811,102,Egypt,5,50014,0.955792488047451,17,51.0,1.0,4.0,1.0,2.0,2,3,2.0,2,2.0,2.0,3.0,2.0,2.0,1,1,1.0,3.0,2.0,5,2.0,6.0
1543,193,Egypt,5,50022,1.96282290501865,32,20.0,1.0,4.0,5.0,2.0,4,3,4.0,4,4.0,4.0,3.0,3.0,2.0,1,1,2.0,3.0,3.0,4,4.0,0.0
2065,259,Egypt,5,50027,6.55232252682725,43,27.0,1.0,4.0,2.0,2.0,2,2,3.0,3,4.0,97.0,1.0,3.0,2.0,2,2,2.0,3.0,1.0,3,3.0,5.0
422,53,Egypt,5,50007,1.9830716483167,10,42.0,2.0,4.0,6.0,2.0,3,5,3.0,3,3.0,3.0,3.0,3.0,3.0,2,2,2.0,2.0,1.0,5,3.0,5.0
512,64,Egypt,5,50007,3.1959436961961902,10,32.0,2.0,3.0,6.0,98.0,3,98,2.0,2,3.0,98.0,2.0,3.0,98.0,2,2,2.0,3.0,1.0,96,3.0,7.0
1359,170,Egypt,5,50020,1.1091351906550702,29,49.0,1.0,2.0,3.0,1.0,2,2,4.0,2,4.0,3.0,3.0,4.0,4.0,2,2,1.0,3.0,2.0,96,1.0,96.0
1223,153,Egypt,5,50019,1.04428498653118,26,40.0,1.0,4.0,1.0,1.0,1,3,2.0,1,2.0,1.0,3.0,1.0,1.0,1,98,99.0,1.0,2.0,5,4.0,8.0
2360,295,Egypt,5,50001,0.9738142570489259,1,47.0,2.0,4.0,4.0,3.0,3,4,2.0,4,3.0,3.0,1.0,4.0,2.0,2,2,2.0,3.0,1.0,7,3.0,7.0
1823,228,Egypt,5,50024,1.44952120394304,37,23.0,1.0,6.0,1.0,2.0,4,4,4.0,3,3.0,3.0,3.0,4.0,3.0,2,1,1.0,2.0,3.0,10,1.0,3.0
905,114,Egypt,5,50015,1.5037023820827902,19,37.0,1.0,4.0,2.0,1.0,2,2,2.0,3,3.0,2.0,3.0,3.0,2.0,2,2,1.0,1.0,3.0,6,1.0,7.0
1979,248,Egypt,5,50026,3.13344617141061,41,25.0,1.0,4.0,6.0,2.0,3,3,4.0,4,3.0,3.0,97.0,4.0,2.0,2,2,2.0,2.0,1.0,2,1.0,3.0
1393,175,Egypt,5,50020,1.54198183287121,29,19.0,1.0,4.0,5.0,1.0,2,2,2.0,3,3.0,3.0,3.0,3.0,2.0,2,2,1.0,1.0,3.0,4,3.0,8.0
118,15,Egypt,5,50002,2.08024577436718,2,22.0,2.0,4.0,6.0,2.0,3,5,4.0,4,4.0,3.0,4.0,4.0,1.0,1,1,1.0,3.0,3.0,7,3.0,0.0
1521,191,Egypt,5,50021,2.86642922750353,31,35.0,1.0,4.0,7.0,1.0,3,1,3.0,3,4.0,3.0,2.0,3.0,2.0,2,2,1.0,3.0,1.0,8,3.0,8.0
636,80,Egypt,5,50008,1.09543414270324,12,43.0,2.0,1.0,4.0,1.0,2,2,2.0,2,3.0,3.0,2.0,4.0,1.0,2,2,2.0,3.0,1.0,10,1.0,5.0
759,95,Egypt,5,50010,1.8658238556032198,16,23.0,1.0,2.0,6.0,2.0,3,5,3.0,2,3.0,3.0,1.0,3.0,1.0,2,2,2.0,4.0,1.0,98,3.0,6.0
1253,157,Egypt,5,50019,2.24397743273312,27,25.0,1.0,1.0,2.0,3.0,2,2,98.0,3,2.0,97.0,2.0,4.0,1.0,2,2,2.0,2.0,2.0,4,3.0,6.0
306,39,Egypt,5,50006,2.5583319508324704,8,38.0,2.0,1.0,4.0,2.0,3,2,3.0,3,4.0,3.0,2.0,3.0,3.0,1,2,1.0,2.0,2.0,4,2.0,4.0
476,60,Egypt,5,50007,1.8919447476568898,10,,2.0,6.0,1.0,1.0,2,1,2.0,2,4.0,4.0,1.0,4.0,1.0,2,1,1.0,2.0,3.0,6,1.0,6.0
